SZ000001	2011-08-31	2012-01-30
SZ000002	2011-08-31	2012-01-30
SZ000005	2011-08-31	2012-01-30
SZ000006	2011-08-31	2012-01-30
SZ000009	2011-08-31	2012-01-30
SZ000011	2011-08-31	2012-01-30
SZ000012	2011-08-31	2012-01-30
SZ000014	2011-08-31	2012-01-30
SZ000016	2011-08-31	2012-01-30
SZ000019	2011-08-31	2012-01-30
SZ000020	2011-08-31	2012-01-30
SZ000021	2011-08-31	2012-01-30
SZ000022	2011-08-31	2012-01-30
SZ000023	2011-08-31	2012-01-30
SZ000024	2011-08-31	2012-01-30
SZ000025	2011-08-31	2012-01-30
SZ000026	2011-08-31	2012-01-30
SZ000027	2011-08-31	2012-01-30
SZ000028	2011-08-31	2012-01-30
SZ000029	2011-08-31	2012-01-30
SZ000031	2011-08-31	2012-01-30
SZ000032	2011-08-31	2012-01-30
SZ000033	2011-08-31	2012-01-30
SZ000036	2011-08-31	2012-01-30
SZ000037	2011-08-31	2012-01-30
SZ000039	2011-08-31	2012-01-30
SZ000040	2011-08-31	2012-01-30
SZ000042	2011-08-31	2012-01-30
SZ000043	2011-08-31	2012-01-30
SZ000045	2011-08-31	2012-01-30
SZ000046	2011-08-31	2012-01-30
SZ000049	2011-08-31	2012-01-30
SZ000050	2011-08-31	2012-01-30
SZ000055	2011-08-31	2012-01-30
SZ000056	2011-08-31	2012-01-30
SZ000058	2011-08-31	2012-01-30
SZ000059	2011-08-31	2012-01-30
SZ000060	2011-08-31	2012-01-30
SZ000061	2011-08-31	2012-01-30
SZ000062	2011-08-31	2012-01-30
SZ000063	2011-08-31	2012-01-30
SZ000065	2011-08-31	2012-01-30
SZ000066	2011-08-31	2012-01-30
SZ000069	2011-08-31	2012-01-30
SZ000070	2011-08-31	2012-01-30
SZ000078	2011-08-31	2012-01-30
SZ000088	2011-08-31	2012-01-30
SZ000089	2011-08-31	2012-01-30
SZ000090	2011-08-31	2012-01-30
SZ000096	2011-08-31	2012-01-30
SZ000099	2011-08-31	2012-01-30
SZ000100	2011-08-31	2012-01-30
SZ000150	2011-08-31	2012-01-30
SZ000151	2011-08-31	2012-01-30
