SZ000001	2005-04-08	2005-06-30
SZ000002	2005-04-08	2005-06-30
SZ000009	2005-04-08	2005-06-30
SZ000012	2005-04-08	2005-06-30
SZ000016	2005-04-08	2005-06-30
SZ000021	2005-04-08	2005-06-30
SZ000022	2005-04-08	2005-06-30
SZ000024	2005-04-08	2005-06-30
SZ000027	2005-04-08	2005-06-30
SZ000029	2005-04-08	2005-06-30
SZ000031	2005-04-08	2005-06-30
SZ000036	2005-04-08	2005-06-30
SZ000039	2005-04-08	2005-06-30
SZ000060	2005-04-08	2005-06-30
SZ000061	2005-04-08	2005-06-30
SZ000063	2005-04-08	2005-06-30
SZ000066	2005-04-08	2005-06-30
SZ000068	2005-04-08	2005-06-30
SZ000069	2005-04-08	2005-06-30
SZ000088	2005-04-08	2005-06-30
SZ000089	2005-04-08	2005-06-30
SZ000096	2005-04-08	2005-06-30
SZ000100	2005-04-08	2005-06-30
SZ000157	2005-04-08	2005-06-30
SZ000400	2005-04-08	2005-06-30
SZ000401	2005-04-08	2005-06-30
SZ000402	2005-04-08	2005-06-30
SZ000406	2005-04-08	2005-06-30
SZ000410	2005-04-08	2005-06-30
SZ000420	2005-04-08	2005-06-30
SZ000423	2005-04-08	2005-06-30
SZ000425	2005-04-08	2005-06-30
SZ000429	2005-04-08	2005-06-30
SZ000488	2005-04-08	2005-06-30
SZ000498	2005-04-08	2005-06-30
SZ000503	2005-04-08	2005-06-30
SZ000507	2005-04-08	2005-06-30
SZ000511	2005-04-08	2005-06-30
SZ000518	2005-04-08	2005-06-30
SZ000520	2005-04-08	2005-06-30
SZ000527	2005-04-08	2005-06-30
SZ000528	2005-04-08	2005-06-30
SZ000532	2005-04-08	2005-06-30
SZ000533	2005-04-08	2005-06-30
SZ000539	2005-04-08	2005-06-30
SZ000541	2005-04-08	2005-06-30
SZ000543	2005-04-08	2005-06-30
SZ000550	2005-04-08	2005-06-30
SZ000559	2005-04-08	2005-06-30
SZ000562	2005-04-08	2005-06-30
SZ000568	2005-04-08	2005-06-30
SZ000571	2005-04-08	2005-06-30
SZ000573	2005-04-08	2005-06-30
SZ000581	2005-04-08	2005-06-30
SZ000601	2005-04-08	2005-06-30
SZ000612	2005-04-08	2005-06-30
SZ000623	2005-04-08	2005-06-30
SZ000625	2005-04-08	2005-06-30
SZ000629	2005-04-08	2005-06-30
SZ000630	2005-04-08	2005-06-30
SZ000636	2005-04-08	2005-06-30
SZ000651	2005-04-08	2005-06-30
SZ000659	2005-04-08	2005-06-30
